,A,B,C,D,E,F,G,classLabel
p0,0.5650160937982982,-1.1926027524623914,0.15089571531790996,0.8749160634298587,2.0868913479853166,0.6979289412051201,-1.337337566557902,6
p1,1.1615977520040743,1.3912849200917266,1.5360214910595062,0.11417264079036335,-0.7141605316710415,-1.3918294154240756,-0.21646205385566794,0
p2,0.44084131861612186,1.2470961438994062,1.7995671454605755,-0.7023472175418533,0.6100486473468776,0.7549064435422581,-0.0068703150990490364,8
p3,-0.4547630292513272,-1.272156474884194,-1.2757936508404184,-0.2189695888643677,-0.012146965317483806,-0.9293453354711204,0.21331367447144484,9
p4,-0.059462044178127574,-0.10660685782517454,-0.4915119009281505,1.8501014218093796,-0.4397797379007291,-0.5051024388569102,-1.3943827232224382,2
p5,-1.2262292240175898,-0.011633165694212941,-0.4593570957910807,1.2411031727390782,0.8560030549048829,-1.3792513945090237,0.3166159935560872,5
p6,0.512883520973017,1.3028873277805335,1.6845491774198291,-0.5423416972021011,0.5899680110338078,0.8167173180403899,0.08476615416375091,8
p7,-1.001038441183494,1.408902165417327,-1.4510254398646991,-0.6171915929970454,-0.19735391422050186,1.3588216902725871,1.4739340575269222,4
p8,-0.031723037493769764,-0.0803666952970841,-0.4820769249734758,1.6554501602415783,-0.648254437827619,-0.7327760788070935,-1.4242706947266313,2
p9,1.6590165417834681,-0.9376420671752989,-0.4569922224005302,-1.5598538360024856,-1.005149607821739,-0.18527080471642868,1.1828332005026048,3
p10,-1.3265858958150876,-0.10171597251936998,-0.5364659564986598,0.8703154383196431,0.8304180288602543,-1.2384600175065847,0.4630436807252968,5
p11,-0.7183560362831628,-0.905973671527884,0.5504298600962733,-1.1118989540413242,-0.9560961307059096,0.4880165654439757,-1.3525363871660598,7
p12,0.11802324746941932,0.0243847492722046,-0.4816412748105751,1.6371630076040922,-0.31698002413813,-0.6092299565252287,-1.2662310461822306,2
p13,-1.1852646290233306,-0.17253802970024876,-0.21045170133579,1.0204951245609708,0.7143581872538348,-1.3317593803928238,0.3546554525925011,5
p14,1.048439658703759,-1.1723413708576258,0.16321940413304922,0.8830215036178898,2.010069859142065,0.6385591805998632,-1.2886751845188362,6
p15,-1.049177285824798,0.17876541518812408,0.42736790027873295,-0.10066921550699758,0.5483562180286747,1.3163633915786757,0.7042594234868491,1
p16,2.061648725567327,-0.8523894576593661,-0.209178282096008,-1.5834340936945508,-0.9554929950300068,-0.13494804732155244,1.372092003237097,3
p17,-0.5323889552369493,-1.3837172844519163,-1.2305923584087284,-0.13763630953019268,-0.31197074636588323,-1.0916505324067058,0.2999272806303148,9
p18,-1.088351254046479,0.031618785325162144,-0.4755740657742522,1.1906097238544149,0.7631239760462927,-1.4186326609925144,0.5506121851420405,5
p19,-1.4277690037389401,0.07648442785129655,-0.5593126083953229,0.9141912364154032,0.6360655758193127,-1.2284563879067043,0.4038565451088757,5
p20,-1.1014660970307601,1.357326304166442,-1.3583123606349743,-0.7568651385276786,-0.34129730379872664,1.2597877010983134,1.5179276455432908,4
p21,-0.7443590419847014,0.1525363854110571,0.04964715966319192,0.2226048070974202,0.4635548843254954,1.3771441011796948,0.7023995311488753,1
p22,-0.7184204908764419,-0.7658925121947237,0.7468697962767148,-1.08441413997812,-1.1382963058228164,0.35684497070200005,-1.3432110669799338,7
p23,-0.0023762884930230176,-0.13854834943382474,-0.6780529322220917,1.804964926767584,-0.5208269275526639,-0.4846251023543547,-1.371609455971006,2
p24,-0.8559018059118619,0.21679156481478326,0.01014054559687804,0.11747443612125208,0.19094196472024744,1.2826473263066192,0.7215407384489654,1
p25,-0.020676737312884608,-0.12629450981780452,-0.6309155574339984,1.6177107934575494,-0.4247866113422769,-0.6780115573148714,-1.1794167457730065,2
p26,-1.2543811052108025,-0.049118442899195265,-0.8122588115655291,1.2306630313711642,0.9070526371748648,-1.4135091548725485,0.39781014824822175,5
p27,-0.4841261562067857,-1.3195374455758653,-1.0718021459295364,-0.35361459732516826,-0.2059031892131537,-0.8435736619759371,0.23645001905791346,9
p28,0.615572975749794,-0.9725864165665576,-0.031008770180328188,0.8908109230363978,2.297926575818418,0.6510875265762698,-1.404247838880362,6
p29,-1.063921777691876,1.3490794119890794,-1.5560099721043303,-0.5422286912819367,-0.11289771964977408,1.3075462137129,1.2621455652732971,4
p30,-0.8338752753014826,1.5701798512844058,-1.3704291455704185,-0.4302615486574853,-0.4400638389823912,1.2282080452518462,1.2698035611208467,4
p31,-1.2466193160990875,-0.048654117373892296,-0.6175360520359037,0.8310874364325518,0.8122104645189664,-1.2842020666790372,0.20811637703055635,5
p32,1.1030822079889562,-1.0904660880500772,0.07438473004604976,1.1078836928083764,2.0996448850763163,0.6560167829240175,-1.512417216682402,6
p33,0.4731456455745121,1.2632776707843028,1.5767793661982856,-0.5297790267273237,0.4539532136822592,0.8402130608358679,0.15376752339643265,8
p34,1.134393609597342,-1.2858603324532727,0.2071648414536152,1.2306984648602444,2.4406117621469083,0.6661949250426671,-1.5104680924219342,6
