occupation,monthly_income,loan_amount,credit_score,years_at_job,classLabel,id
0,3679.2230136567223,16503.755622764904,746.6122217162832,20,1,p459
1,6710.446477403537,12756.03624575848,677.3245472749446,20,1,p354
3,4879.204410157611,11033.38693883225,674.0802573510431,29,1,p731
4,5693.392467837183,16348.79720778636,646.8974011242115,24,0,p726
4,4640.413853951133,11655.582440086586,637.1964825102743,10,0,p386
4,4844.173626541116,470.3736307160616,776.4593181124618,24,1,p6
1,6043.295998822417,12210.63205551894,717.0120613466506,7,1,p934
3,3380.474432829005,16847.383602724043,813.4491850245468,9,1,p651
3,4751.145653279632,6759.138607364173,547.9191506512716,29,0,p639
3,5234.91992023161,12805.17615121345,650.3477245095951,4,1,p426
3,5796.177070637805,17614.26884319471,812.8639189419682,7,1,p547
4,5287.461486544531,3704.94320234022,693.0656455605531,13,1,p670
1,6565.499956015872,6599.197915634864,451.8779549390133,19,0,p291
3,6403.276640219233,4829.269188643134,755.3706012169207,21,1,p889
2,6877.609564305034,13324.109682902645,619.0591358567546,16,0,p758
2,4417.36024170276,20214.219540102215,505.9070890189056,24,0,p15
3,6076.923759655274,12381.108853819464,741.6494110605543,8,1,p816
0,5011.704579808946,-1958.3680473143213,691.4019198018001,1,0,p616
1,3024.999758157709,4708.510298492788,764.9871612565339,19,1,p14
4,6230.891025970384,13486.523357386775,693.6218424907728,28,1,p3
0,6313.577884070784,9301.562736105108,618.1430506317947,23,0,p147
0,5597.529343575047,20390.07193567109,811.8931479825432,25,0,p57
1,4583.279437186163,2061.054759569265,585.2724389141822,17,0,p406
2,4281.342275510681,10872.739728110271,774.8226275961482,22,1,p534
3,3829.7584863601696,4381.5907659020295,739.0923364021797,24,1,p50
2,6324.450737701727,14558.82325955155,616.9645529763524,6,0,p469
1,6272.500014021362,14578.710720263169,690.4818142350427,24,1,p722
0,4693.732936511712,15316.380103277628,711.0293490419202,28,1,p479
2,7072.875128467391,5159.453226146944,702.6307052477842,8,1,p996
3,6628.263877379311,17247.42424571631,763.8877429543655,18,1,p631
3,5584.187176933931,4240.524832504137,712.4418039582338,1,0,p872
3,5060.071710063051,7884.552230813155,721.3372603960564,19,1,p842
4,5165.503651575293,5095.004189062607,759.6150125976523,6,1,p189
1,3967.0254178071937,12253.640057651925,780.8558005623067,10,1,p719
4,5382.128088036174,13901.14733523403,615.1500722251693,25,0,p869
2,3316.043528681901,10695.911769029615,619.9637922891374,13,0,p609
4,5819.892626416325,4276.237057887433,597.6939005423119,22,0,p106
4,3344.827633300553,3370.8416135141306,774.3668682111046,12,1,p753
1,5208.033960799879,18470.151385441062,845.1667155322604,5,1,p800
0,2875.831268263896,8712.184512911832,742.8138228513832,22,0,p798
0,5156.579193216549,16602.2390522185,818.3569895502579,28,1,p257
4,2559.2287172423207,11117.99654609586,561.199375791183,22,0,p154
0,5548.294144887946,14101.79873462777,547.5305312487322,2,0,p299
2,2607.8995669911087,15858.391632881528,639.5782172869024,11,0,p655
0,3456.0177797829483,13141.657807173362,666.7525122493773,15,1,p844
4,2312.9597957773217,10550.787244596651,673.8950847169637,16,0,p228
3,3862.270431353684,10326.596697668598,645.2277109366274,29,0,p19
4,6462.510600135079,22637.53859717905,706.377022634245,13,0,p440
4,7662.444578318789,7538.685170506076,671.5694276505258,17,1,p914
2,5173.295774306955,6062.029119615814,692.3684776263976,25,1,p487
2,2478.619890177617,2179.5070563348872,510.766441347504,23,0,p308
